openPrice,highPrice,lowPrice,closePrice,symbol,volume,turnover,openInterest,simple_rtn,log_rtn
49941.83,50389.35,48335.67,49732.3,BTCUSD,1280343662,25887.1523839,148532786.0,-0.004195481022621683,-0.004204306747217279
49732.3,52070.44,49262.49,51850.37,BTCUSD,1385656281,27057.59067018,65602564.0,0.04258942377489072,0.04170744921341395
51850.37,52840.35,51354.62,51933.28,BTCUSD,1308829640,25096.36703447,69651267.0,0.0015990242692578427,0.0015977471911556714
51933.28,52597.67,51605.79,52162.16,BTCUSD,888180504,17049.4972261,78399787.0,0.004407193229466921,0.00439750999355604
52162.16,52207.64,50643.57,51665.61,BTCUSD,689705078,13398.03892163,75540670.0,-0.009519352726190866,-0.009564951374832193
51665.61,52395.03,51189.99,52145.54,BTCUSD,611448221,11797.29849707,71948977.0,0.009289157720193453,0.00924627882926461
52145.54,52493.39,51689.87,51779.42,BTCUSD,693518783,13293.95044835,72443558.0,-0.00702111820109641,-0.007045882233702356
51779.42,52985.23,50765.33,52260.24,BTCUSD,1143996235,22033.12128748,74592837.0,0.009285928656597608,0.009243079479765413
52260.24,52369.27,50629.59,51852.68,BTCUSD,1214013687,23630.98648859,79578545.0,-0.007798662998868666,-0.007829231604373656
51852.68,52062.46,50913.87,51262.41,BTCUSD,991737805,19224.88900377,79059569.0,-0.011383596759126036,-0.011448885852762908
51262.41,51508.12,50524.33,50744.94,BTCUSD,830533843,16264.50710642,80564501.0,-0.010094531255943728,-0.010145826529705821
50744.94,51691.59,50580.94,51574.81,BTCUSD,361794450,7063.74453626,92550861.0,0.016353748767857335,0.016221466477543144
51574.81,51959.7,51287.2,51728.37,BTCUSD,407741517,7889.25025015,79469164.0,0.0029774225052889847,0.002972998761628853
51728.37,54939.24,50918.17,54512.73,BTCUSD,1023275878,19293.51102554,79554613.0,0.05382655591119545,0.05242787861900649
54512.73,57622.56,54476.2,57070.53,BTCUSD,1848371617,32567.37565889,78199758.0,0.0469211503441489,0.045853618970455964
57070.53,64064.36,56726.01,62502.34,BTCUSD,2803232395,46388.09335552,60523796.0,0.09517714308943681,0.09091612469528025
62502.34,63659.8,60360.61,61176.1,BTCUSD,2732514324,43966.19113353,65229492.0,-0.02121904555893428,-0.02144740567294983
