startTime,openPrice,highPrice,lowPrice,closePrice,symbol,volume,turnover,openInterest
2024-04-30,63846.04,64724.78,59089.54,60632.64,BTCUSD,2117478141,34765.0453097,331760650.00000000
2024-04-29,63109.42,64191.68,61771.95,63846.04,BTCUSD,1330431186,21244.64874958,317626466.00000000
2024-04-28,63433.42,64340.59,62767.71,63109.42,BTCUSD,698842508,10994.50587845,316996638.00000000
2024-04-27,63751.61,63907.37,62397.63,63433.42,BTCUSD,912937699,14488.39012097,318241311.00000000
2024-04-26,64488.03,64791.93,63308.59,63751.61,BTCUSD,1148931440,17931.56202259,319516725.00000000
2024-04-25,64264.16,65283.51,62762.54,64488.03,BTCUSD,1373068768,21448.85940876,318733311.00000000
2024-04-24,66417.21,67067.61,63552.64,64264.16,BTCUSD,1301693185,19922.52836325,320300591.00000000
2024-04-23,66853.85,67212.23,65837.95,66417.21,BTCUSD,1013109551,15238.85700669,320195120.00000000
2024-04-22,64957.8,67257.89,64533.45,66853.85,BTCUSD,1367116653,20734.40274438,317776360.00000000
2024-04-21,64979.7,65724.52,64264.41,64957.8,BTCUSD,1088304541,16760.29113062,317759746.00000000
2024-04-20,63846.96,65449.63,63134.18,64979.7,BTCUSD,1304005711,20312.36771107,317362370.00000000
2024-04-19,63512.79,65491.83,59604.03,63846.96,BTCUSD,2592712269,40822.6739846,319144482.00000000
2024-04-18,61284.88,64185.06,60834.44,63512.79,BTCUSD,1982938802,31756.32231056,320805056.00000000
2024-04-17,63820.71,64505.44,59676.94,61284.88,BTCUSD,2229650099,36001.9754035,318868889.00000000
2024-04-16,63448.34,64389.03,61651.9,63820.71,BTCUSD,2400157525,38195.34499312,315208284.00000000
2024-04-15,65764.36,66917.13,62329.76,63448.34,BTCUSD,2354400913,36379.30825324,317859410.00000000
2024-04-14,64024.68,65880.67,62257.85,65764.36,BTCUSD,2544658190,39690.63743449,318142962.00000000
2024-04-13,67152.61,68302.53,60908.79,64024.68,BTCUSD,2078009633,31694.77755339,328235104.00000000
2024-04-12,70027.42,71246.19,65145.42,67152.61,BTCUSD,1551432585,22564.92358133,326942036.00000000
2024-04-11,70634.57,71298.88,69562.93,70027.42,BTCUSD,1381851140,19629.21096634,326048768.00000000
2024-04-10,69123.71,71157.92,67479.39,70634.57,BTCUSD,1556823062,22541.05723218,332706476.00000000
2024-04-09,71626.15,71754.52,68216.05,69123.71,BTCUSD,1555348653,22235.69363647,332048364.00000000
2024-04-08,69356.88,72754.32,69061.75,71626.15,BTCUSD,1362287671,19081.36295074,327128443.00000000
2024-04-07,68913.71,70301.65,68859.31,69356.88,BTCUSD,956484834,13770.71798538,325532026.00000000
2024-04-06,67855.57,69682.97,67481.64,68913.71,BTCUSD,822417257,12068.41688071,325814107.00000000
2024-04-05,68523.01,68769.07,65999.81,67855.57,BTCUSD,1688146911,25035.56123066,325708856.00000000
2024-04-04,65986.98,69351.9,65080.64,68523.01,BTCUSD,1516783312,22551.09562806,325309531.00000000
2024-04-03,65464.98,66934.37,64509.29,65986.98,BTCUSD,1556593769,23576.13981448,331095959.00000000
2024-04-02,69685.04,69703.07,64575.32,65464.98,BTCUSD,2127079535,32143.51313141,332811291.00000000
2024-04-01,71323.03,71335.87,68065.53,69685.04,BTCUSD,1282744926,18451.85462083,335934336.00000000
2024-03-31,69630.49,71398.1,69601.55,71323.03,BTCUSD,618189605,8755.46239141,347480887.00000000
2024-03-30,69903.91,70358.3,69582.42,69630.49,BTCUSD,483592083,6902.46720158,342386646.00000000
2024-03-29,70797.53,70917.37,69052.18,69903.91,BTCUSD,982080700,14019.88576538,334992188.00000000
2024-03-28,69437.22,71582.13,68854.85,70797.53,BTCUSD,1477219909,20950.2191988,334915528.00000000
2024-03-27,69992.17,71757.71,68388.21,69437.22,BTCUSD,1947524496,27932.50307774,316205434.00000000
2024-03-26,69890.0,71564.39,69304.12,69992.17,BTCUSD,1757772812,24992.88735039,312219344.00000000
2024-03-25,67211.54,71206.31,66401.97,69890.0,BTCUSD,2006910063,29198.38960935,313903416.00000000
2024-03-24,64004.63,67630.4,63797.78,67211.54,BTCUSD,1517213513,23217.53963973,313408103.00000000
2024-03-23,63814.57,66005.67,63022.08,64004.63,BTCUSD,1457948842,22572.07973083,313445746.00000000
2024-03-22,65491.71,66642.14,62301.63,63814.57,BTCUSD,2335202530,36289.62739257,309826993.00000000
2024-03-21,67856.8,68236.89,64547.72,65491.71,BTCUSD,2388087161,35861.18494568,309800036.00000000
2024-03-20,61913.42,68144.74,60783.73,67856.8,BTCUSD,3365980821,52780.69262479,319358137.00000000
2024-03-19,67611.55,68124.17,61521.66,61913.42,BTCUSD,3281108279,51100.51090927,320836215.00000000
2024-03-18,68364.66,68926.07,66582.87,67611.55,BTCUSD,2046212094,30255.56969356,319049481.00000000
2024-03-17,65256.81,68878.35,64549.77,68364.66,BTCUSD,2122159494,31768.09034306,337762010.00000000
2024-03-16,69501.1,70047.18,64780.0,65256.81,BTCUSD,2166880484,31928.8949081,331009782.00000000
2024-03-15,71366.36,72397.34,65571.75,69501.1,BTCUSD,3308141600,48360.15211698,315639172.00000000
