Date,Open,High,Low,Close,adj_close,Volume,Dividends,Stock Splits,simple_rtn,log_rtn
2014-01-02,1845.8599853515625,1845.8599853515625,1827.739990234375,1831.97998046875,1831.97998046875,3080600000,0.0,0.0,,
2014-01-03,1833.2099609375,1838.239990234375,1829.1300048828125,1831.3699951171875,1831.3699951171875,2774270000,0.0,0.0,-0.00033296507498215,-0.00033302052016060914
2014-01-06,1832.31005859375,1837.1600341796875,1823.72998046875,1826.77001953125,1826.77001953125,3294850000,0.0,0.0,-0.0025117674736410134,-0.0025149272537594355
2014-01-07,1828.7099609375,1840.0999755859375,1828.7099609375,1837.8800048828125,1837.8800048828125,3511750000,0.0,0.0,0.006081764662643874,0.006063345375391041
2014-01-08,1837.9000244140625,1840.02001953125,1831.4000244140625,1837.489990234375,1837.489990234375,3652140000,0.0,0.0,-0.0002122089839386998,-0.0002122315034510835
2014-01-09,1839.0,1843.22998046875,1830.3800048828125,1838.1300048828125,1838.1300048828125,3581150000,0.0,0.0,0.0003483091890779111,0.0003482485435141758
2014-01-10,1840.06005859375,1843.1500244140625,1832.4300537109375,1842.3699951171875,1842.3699951171875,3335710000,0.0,0.0,0.002306686808393188,0.002304030490455301
2014-01-13,1841.260009765625,1843.449951171875,1815.52001953125,1819.199951171875,1819.199951171875,3591350000,0.0,0.0,-0.012576216507389826,-0.012655966458794009
2014-01-14,1821.3599853515625,1839.260009765625,1821.3599853515625,1838.8800048828125,1838.8800048828125,3353270000,0.0,0.0,0.010817971767347556,0.010759876119934082
2014-01-15,1840.52001953125,1850.8399658203125,1840.52001953125,1848.3800048828125,1848.3800048828125,3777800000,0.0,0.0,0.005166188100786506,0.005152889134682223
2014-01-16,1847.989990234375,1847.989990234375,1840.300048828125,1845.8900146484375,1845.8900146484375,3491310000,0.0,0.0,-0.0013471203041567348,-0.0013480284864258142
2014-01-17,1844.22998046875,1846.0400390625,1835.22998046875,1838.699951171875,1838.699951171875,3626120000,0.0,0.0,-0.0038951743709020326,-0.0039027803200150837
2014-01-21,1841.050048828125,1849.31005859375,1832.3800048828125,1843.800048828125,1843.800048828125,3782470000,0.0,0.0,0.0027737519941737343,0.0027699122428176707
2014-01-22,1844.7099609375,1846.8699951171875,1840.8800048828125,1844.8599853515625,1844.8599853515625,3374170000,0.0,0.0,0.0005748652214816463,0.0005747000497681626
2014-01-23,1842.2900390625,1842.2900390625,1820.06005859375,1828.4599609375,1828.4599609375,3972250000,0.0,0.0,-0.00888957673985069,-0.00892932476457093
2014-01-24,1826.9599609375,1826.9599609375,1790.2900390625,1790.2900390625,1790.2900390625,4618450000,0.0,0.0,-0.02087544856898549,-0.02109642142734084
2014-01-27,1791.030029296875,1795.97998046875,1772.8800048828125,1781.56005859375,1781.56005859375,4045200000,0.0,0.0,-0.004876293940238585,-0.004888221853339347
2014-01-28,1783.0,1793.8699951171875,1779.489990234375,1792.5,1792.5,3437830000,0.0,0.0,0.00614065260021901,0.006121875622432071
2014-01-29,1790.1500244140625,1790.1500244140625,1770.449951171875,1774.199951171875,1774.199951171875,3964020000,0.0,0.0,-0.010209232261157553,-0.01026170390849596
2014-01-30,1777.1700439453125,1798.77001953125,1777.1700439453125,1794.18994140625,1794.18994140625,3547510000,0.0,0.0,0.011267044743841437,0.011204044372218206
2014-01-31,1790.8800048828125,1793.8800048828125,1772.260009765625,1782.5899658203125,1782.5899658203125,4059690000,0.0,0.0,-0.0064652996420466735,-0.006486290214250376
2014-02-03,1782.6800537109375,1784.8299560546875,1739.6600341796875,1741.8900146484375,1741.8900146484375,4726040000,0.0,0.0,-0.02283191982018462,-0.023096604704486576
2014-02-04,1743.8199462890625,1758.72998046875,1743.8199462890625,1755.199951171875,1755.199951171875,4068410000,0.0,0.0,0.007641088938743268,0.007612043683081426
2014-02-05,1753.3800048828125,1755.7900390625,1737.9200439453125,1751.6400146484375,1751.6400146484375,3984290000,0.0,0.0,-0.0020282227794392593,-0.0020302824086565886
2014-02-06,1752.989990234375,1774.06005859375,1752.989990234375,1773.4300537109375,1773.4300537109375,3825410000,0.0,0.0,0.012439792925644788,0.012363054453375717
2014-02-07,1776.010009765625,1798.030029296875,1776.010009765625,1797.02001953125,1797.02001953125,3775990000,0.0,0.0,0.013301886798946505,0.013214193504296921
2014-02-10,1796.199951171875,1799.93994140625,1791.8299560546875,1799.8399658203125,1799.8399658203125,3312160000,0.0,0.0,0.0015692347655638095,0.0015680048032540356
2014-02-11,1800.449951171875,1823.5400390625,1800.4100341796875,1819.75,1819.75,3699380000,0.0,0.0,0.011062113608869106,0.011001375944254965
2014-02-12,1820.1199951171875,1826.550048828125,1815.969970703125,1819.260009765625,1819.260009765625,3326380000,0.0,0.0,-0.00026926239009483766,-0.00026929864772088686
2014-02-13,1814.8199462890625,1830.25,1809.219970703125,1829.8299560546875,1829.8299560546875,3289510000,0.0,0.0,0.005810025082904069,0.005793211978776681
2014-02-14,1828.4599609375,1841.6500244140625,1825.5899658203125,1838.6300048828125,1838.6300048828125,3114750000,0.0,0.0,0.004809216724759979,0.004797689385548304
2014-02-18,1839.030029296875,1842.8699951171875,1835.010009765625,1840.760009765625,1840.760009765625,3421110000,0.0,0.0,0.0011584739056558213,0.0011578033925587676
2014-02-19,1838.9000244140625,1847.5,1826.989990234375,1828.75,1828.75,3661570000,0.0,0.0,-0.006524484290135191,-0.0065458617731959995
2014-02-20,1829.239990234375,1842.7900390625,1824.5799560546875,1839.780029296875,1839.780029296875,3404980000,0.0,0.0,0.006031458262132583,0.006013341826934013
2014-02-21,1841.0699462890625,1846.1300048828125,1835.5999755859375,1836.25,1836.25,3403880000,0.0,0.0,-0.0019187235651341172,-0.0019205666731810659
2014-02-24,1836.780029296875,1858.7099609375,1836.780029296875,1847.6099853515625,1847.6099853515625,4014530000,0.0,0.0,0.00618651346579302,0.006167455552331448
2014-02-25,1847.6600341796875,1852.9100341796875,1840.18994140625,1845.1199951171875,1845.1199951171875,3515560000,0.0,0.0,-0.0013476817370097205,-0.0013485906767746498
2014-02-26,1845.7900390625,1852.6500244140625,1840.6600341796875,1845.1600341796875,1845.1600341796875,3716730000,0.0,0.0,2.1699977565736717e-05,2.1699742124629578e-05
2014-02-27,1844.9000244140625,1854.530029296875,1841.1300048828125,1854.2900390625,1854.2900390625,3547460000,0.0,0.0,0.004948082937896281,0.004935881408416543
2014-02-28,1855.1199951171875,1867.9200439453125,1847.6700439453125,1859.449951171875,1859.449951171875,3917450000,0.0,0.0,0.0027826887923012578,0.0027788242813380905
2014-03-03,1857.6800537109375,1857.6800537109375,1834.43994140625,1845.72998046875,1845.72998046875,3428220000,0.0,0.0,-0.007378510346287226,-0.007405866200454787
2014-03-04,1849.22998046875,1876.22998046875,1849.22998046875,1873.9100341796875,1873.9100341796875,3765770000,0.0,0.0,0.01526770113133269,0.015152322676141788
2014-03-05,1874.050048828125,1876.530029296875,1871.1099853515625,1873.81005859375,1873.81005859375,3392990000,0.0,0.0,-5.335132643191631e-05,-5.335274966455346e-05
2014-03-06,1874.1800537109375,1881.93994140625,1874.1800537109375,1877.030029296875,1877.030029296875,3360450000,0.0,0.0,0.0017184082710823834,0.0017169334968570882
2014-03-07,1878.52001953125,1883.5699462890625,1870.56005859375,1878.0400390625,1878.0400390625,3564740000,0.0,0.0,0.0005380892952486782,0.0005379445771157059
2014-03-10,1877.8599853515625,1877.8699951171875,1867.0400390625,1877.1700439453125,1877.1700439453125,3021350000,0.0,0.0,-0.0004632463094992323,-0.0004633536412194934
2014-03-11,1878.260009765625,1882.3499755859375,1863.8800048828125,1867.6300048828125,1867.6300048828125,3392400000,0.0,0.0,-0.005082138985368356,-0.005095096975215844
2014-03-12,1866.1500244140625,1868.3800048828125,1854.3800048828125,1868.199951171875,1868.199951171875,3270860000,0.0,0.0,0.00030517087837123036,0.0003051243232100062
2014-03-13,1869.06005859375,1874.4000244140625,1841.8599853515625,1846.3399658203125,1846.3399658203125,3670990000,0.0,0.0,-0.011701095130556172,-0.011770091695883623
2014-03-14,1845.0699462890625,1852.43994140625,1839.5699462890625,1841.1300048828125,1841.1300048828125,3285460000,0.0,0.0,-0.0028217776974703845,-0.002825766417445165
2014-03-17,1842.81005859375,1862.300048828125,1842.81005859375,1858.8299560546875,1858.8299560546875,2860490000,0.0,0.0,0.009613634629240364,0.009567717695038962
2014-03-18,1858.9200439453125,1873.760009765625,1858.9200439453125,1872.25,1872.25,2930190000,0.0,0.0,0.0072196189337276895,0.0071936822454731885
2014-03-19,1872.25,1874.1400146484375,1850.3499755859375,1860.77001953125,1860.77001953125,3289210000,0.0,0.0,-0.006131649335692324,-0.006150525096734505
2014-03-20,1860.0899658203125,1873.489990234375,1854.6300048828125,1872.010009765625,1872.010009765625,3327540000,0.0,0.0,0.006040504799839086,0.0060223340875217475
2014-03-21,1874.530029296875,1883.969970703125,1863.4599609375,1866.52001953125,1866.52001953125,5270710000,0.0,0.0,-0.0029326714097337447,-0.002936980116608755
2014-03-24,1867.6700439453125,1873.3399658203125,1849.68994140625,1857.43994140625,1857.43994140625,3409000000,0.0,0.0,-0.004864709743258144,-0.004876580959363224
2014-03-25,1859.47998046875,1871.8699951171875,1855.9599609375,1865.6199951171875,1865.6199951171875,3200560000,0.0,0.0,0.004403939814465518,0.004394270848822234
2014-03-26,1867.0899658203125,1875.9200439453125,1852.56005859375,1852.56005859375,1852.56005859375,3480850000,0.0,0.0,-0.007000319763734719,-0.007024936954876045
2014-03-27,1852.1099853515625,1855.550048828125,1842.1099853515625,1849.0400390625,1849.0400390625,3733430000,0.0,0.0,-0.0019000838946738874,-0.0019018913439770551
